id,season,year,name,full_name,url,status,category,prize,country,city
1266,1994-1995,1995,Oceania Championship,1995 Oceania Championship,https://cuetracker.net/tournaments/oceania-championship/1995/1266,Amateur,Continental Event,0.0,Australia,Gosford
1575,1994-1995,1995,Dutch Amateur Championship,1995 Dutch Amateur Championship,https://cuetracker.net/tournaments/dutch-amateur-championship/1995/1575,Amateur,National Championship,0.0,Netherlands,Tilburg
422,1994-1995,1995,World Championship,1995 World Championship,https://cuetracker.net/tournaments/world-championship/1995/422,Professional,Ranking,1359000.0,England,Sheffield
428,1994-1995,1995,British Open,1995 British Open,https://cuetracker.net/tournaments/british-open/1995/428,Professional,Ranking,329760.0,England,Plymouth
1075,1994-1995,1995,WPBSA Minor Tour - Event 4,1995 WPBSA Minor Tour - Event 4,https://cuetracker.net/tournaments/wpbsa-minor-tour-event-4/1995/1075,Professional,Non-ranking,23550.0,Finland,Helsinki
431,1994-1995,1995,Irish Masters,1995 Irish Masters,https://cuetracker.net/tournaments/irish-masters/1995/431,Professional,Invitational,200000.0,Ireland,Kill
432,1994-1995,1995,Thailand Open,1995 Thailand Open,https://cuetracker.net/tournaments/thailand-open/1995/432,Professional,Ranking,182850.0,Thailand,Bangkok
1074,1994-1995,1995,WPBSA Minor Tour - Event 3,1995 WPBSA Minor Tour - Event 3,https://cuetracker.net/tournaments/wpbsa-minor-tour-event-3/1995/1074,Professional,Non-ranking,6500.0,Germany,Munich
433,1994-1995,1995,International Open,1995 International Open,https://cuetracker.net/tournaments/international-open/1995/433,Professional,Ranking,323100.0,England,Bournemouth
434,1994-1995,1995,Masters,1995 Masters,https://cuetracker.net/tournaments/masters/1995/434,Professional,Invitational,435000.0,England,London
1057,1994-1995,1995,WPBSA Minor Tour - Event 2,1995 WPBSA Minor Tour - Event 2,https://cuetracker.net/tournaments/wpbsa-minor-tour-event-2/1995/1057,Professional,Non-ranking,7650.0,Thailand,Khonkaen
435,1994-1995,1995,Welsh Open,1995 Welsh Open,https://cuetracker.net/tournaments/welsh-open/1995/435,Professional,Ranking,196400.0,Wales,Newport
436,1994-1995,1995,Charity Challenge,1995 Charity Challenge,https://cuetracker.net/tournaments/charity-challenge/1995/436,Professional,Invitational,160000.0,England,Birmingham
1402,1994-1995,1995,African Championship - Men,1995 African Championship - Men,https://cuetracker.net/tournaments/african-championship-men/1995/1402,Amateur,Continental Event,0.0,South Africa,Durban
